Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,42.88,0.9972,0.0903,0.0018
Gaussian,43.16,0.9988,0.0879,0.0018
Gaussian,42.59,0.9967,0.0979,0.0018
Gaussian,42.95,0.998,0.0919,0.0018
Gaussian,43.12,0.9987,0.0873,0.0018
Gaussian,43.19,0.9971,0.0911,0.0018
Gaussian,43.15,0.9988,0.0879,0.0018
Gaussian,43.2,0.9986,0.0925,0.0019
Gaussian,42.96,0.9979,0.0919,0.0018
Gaussian,43.28,0.9985,0.0902,0.0018
Gaussian,43.04,0.9986,0.0888,0.0018
Gaussian,42.62,0.997,0.092,0.0018
Gaussian,43.1,0.9987,0.0856,0.0018
Gaussian,43.03,0.9986,0.0888,0.0018
Gaussian,42.44,0.9971,0.095,0.0018
Gaussian,42.9,0.9986,0.087,0.0019
Gaussian,43.52,0.9989,0.0866,0.0018
Gaussian,43.51,0.9989,0.0865,0.0018
Gaussian,43.05,0.9986,0.0885,0.0018
Gaussian,43.04,0.9983,0.0899,0.0018
Gaussian,42.6,0.9981,0.094,0.0019
Gaussian,42.81,0.9982,0.0934,0.0018
Gaussian,42.96,0.998,0.0917,0.0018
Gaussian,42.53,0.9968,0.0984,0.0018
Gaussian,43.02,0.9984,0.0855,0.0018
Gaussian,41.61,0.9962,0.1145,0.0018
Gaussian,42.36,0.9968,0.0967,0.0018
Gaussian,42.54,0.9971,0.0982,0.0018
Gaussian,41.67,0.9961,0.1171,0.0018
Gaussian,41.66,0.9964,0.1107,0.0018
Gaussian,41.18,0.9954,0.1313,0.0018
Gaussian,42.9,0.9974,0.0861,0.0018
Gaussian,42.85,0.9972,0.0914,0.0018
Gaussian,42.19,0.9973,0.1101,0.0018
Gaussian,42.57,0.9973,0.0926,0.002
Gaussian,42.89,0.9974,0.0872,0.0018
Gaussian,42.25,0.9969,0.1024,0.0018
Gaussian,42.86,0.9973,0.0891,0.0018
Gaussian,42.53,0.9972,0.0974,0.0019
Gaussian,43.35,0.9987,0.0925,0.0018
Gaussian,42.93,0.9973,0.0895,0.0018
Gaussian,42.9,0.9984,0.0908,0.0018
Gaussian,43.24,0.9987,0.0869,0.0018
Gaussian,43.14,0.9979,0.0885,0.0018
Gaussian,42.41,0.9967,0.1006,0.0018
Gaussian,42.79,0.9965,0.0955,0.0018
Gaussian,41.65,0.9959,0.1195,0.0018
Gaussian,43.4,0.9988,0.0871,0.0018
Gaussian,42.97,0.9988,0.0836,0.0018
Gaussian,42.6,0.9974,0.0885,0.0018
Gaussian,42.45,0.9971,0.0947,0.0018
Gaussian,42.91,0.9973,0.0894,0.0018
Gaussian,43.35,0.9988,0.0866,0.0018
Gaussian,42.88,0.9984,0.0916,0.0018
Gaussian,42.54,0.9971,0.0975,0.0018
Gaussian,42.87,0.9973,0.0879,0.002
Gaussian,42.84,0.9973,0.0902,0.0019
Gaussian,41.88,0.9965,0.1064,0.0018
Gaussian,42.55,0.997,0.0995,0.0018
